scenario,description,seed,delivered_packages,pending_packages,average_delivery_time,average_waiting_time,total_cost,total_income,gross_profit,moto_distance,furgoneta_distance,moto_trips,furgoneta_trips,tipo_caso
A1,Alta demanda con flota de motos,,171,6,0.6683508819335505,0.1371820728922432,2678403.131695294,8080000.0,5401596.868304706,3486.7508823309795,0.0,171,0,mejor_average_delivery_time
A1,Alta demanda con flota de motos,,169,62,2.772280884394353,2.157873635533807,2928052.243007979,7920000.0,4991947.756992022,4010.42069818626,0.0,169,0,peor_average_delivery_time
A1,Alta demanda con flota de motos,,172,49,1.3436440898188546,0.7699900638266102,2836303.803475375,8110000.0,5273696.196524626,3817.9670251793104,0.0,172,0,promedio_average_delivery_time
A1,Alta demanda con flota de motos,,147,13,0.8281972059298881,0.2379096785166428,2609617.0803847928,6860000.0,4250382.919615207,3342.463652010883,0.0,147,0,mejor_total_cost
A1,Alta demanda con flota de motos,,189,26,1.368872992302063,0.8333397597157288,2991596.2871337584,8220000.0,5228403.712866241,4143.712171611008,0.0,189,0,peor_total_cost
A1,Alta demanda con flota de motos,,181,23,1.2429229038357756,0.688367221053099,2864326.3431492257,8880000.0,6015673.656850774,3876.747759921926,0.0,181,0,promedio_total_cost
A1,Alta demanda con flota de motos,,192,38,1.485345008250487,0.9768630286515988,2862960.223853745,9260000.0,6397039.776146255,3873.882156130514,0.0,192,0,mejor_gross_profit
A1,Alta demanda con flota de motos,,169,20,1.7141852600503429,1.120419739734874,2866704.2940186984,6820000.0,3953295.7059813016,3881.735805292418,0.0,169,0,peor_gross_profit
A1,Alta demanda con flota de motos,,180,20,1.4509299183546798,0.8686839126883497,2974431.4608970694,8150000.0,5175568.539102931,4107.706830565361,0.0,180,0,promedio_gross_profit
A2,Baja demanda con flota de motos,,83,0,0.506868790720338,0.0324549407848289,1777316.5541965554,3590000.0,1812683.4458034448,1596.610598525187,0.0,83,0,mejor_average_delivery_time
A2,Baja demanda con flota de motos,,78,1,0.7100591611450514,0.0355682389267086,1942701.0852559963,3590000.0,1647298.9147440037,1943.525059665539,0.0,78,0,peor_average_delivery_time
A2,Baja demanda con flota de motos,,91,0,0.596293168559646,0.0412406530468359,1943002.3704613151,4530000.0,2586997.629538685,1944.157042560091,0.0,91,0,promedio_average_delivery_time
A2,Baja demanda con flota de motos,,62,1,0.5613044614892481,0.025788983649793,1654747.1571435314,2910000.0,1255252.8428564686,1339.506164038108,0.0,62,0,mejor_total_cost
A2,Baja demanda con flota de motos,,110,0,0.6478074515199175,0.0471285663740201,2291386.628605516,4950000.0,2658613.3713944843,2674.9360120904344,0.0,110,0,peor_total_cost
A2,Baja demanda con flota de motos,,95,1,0.5645566930666653,0.0452381598743119,1960050.426124653,4250000.0,2289949.573875347,1979.9174429194925,0.0,95,0,promedio_total_cost
A2,Baja demanda con flota de motos,,122,0,0.6147699033748882,0.0533137669699035,2291042.4787122672,5910000.0,3618957.5212877328,2674.21411522376,0.0,122,0,mejor_gross_profit
A2,Baja demanda con flota de motos,,76,0,0.5089944473728071,0.0318594138621254,1689784.653690651,2630000.0,940215.3463093488,1413.0016364168523,0.0,76,0,peor_gross_profit
A2,Baja demanda con flota de motos,,96,0,0.664420897608935,0.0447895363076144,2094612.8408169805,4230000.0,2135387.15918302,2262.178711755786,0.0,96,0,promedio_gross_profit
B1,Alta demanda con furgonetas,,210,8,0.9784400262155624,0.2428086916905979,979334.487073682,9150000.0,8170665.512926318,0.0,573.4831773352528,0,21,mejor_average_delivery_time
B1,Alta demanda con furgonetas,,170,0,1.460683681939842,0.2917960898132457,946905.6763919411,7450000.0,6503094.3236080585,0.0,532.9471639830772,0,17,peor_average_delivery_time
B1,Alta demanda con furgonetas,,200,0,1.2070969395603115,0.2754226958298614,954337.1925704266,8950000.0,7995662.807429573,0.0,542.2365592061842,0,20,promedio_average_delivery_time
B1,Alta demanda con furgonetas,,160,1,1.1414934888570565,0.3223165122508691,852991.5353679733,7300000.0,6447008.464632027,0.0,415.5544877031174,0,16,mejor_total_cost
B1,Alta demanda con furgonetas,,260,8,1.1411032362789342,0.2230932170559951,1118459.6739897518,12050000.0,10931540.326010248,0.0,747.3896609803403,0,26,peor_total_cost
B1,Alta demanda con furgonetas,,190,5,1.2580431155902427,0.2907898747737349,965940.8989225648,8750000.0,7784059.101077436,0.0,556.7411921463558,0,19,promedio_total_cost
B1,Alta demanda con furgonetas,,260,8,1.1411032362789342,0.2230932170559951,1118459.6739897518,12050000.0,10931540.326010248,0.0,747.3896609803403,0,26,mejor_gross_profit
B1,Alta demanda con furgonetas,,150,1,1.4232855269084927,0.3695287492672399,891539.2729901845,6550000.0,5658460.727009815,0.0,463.7391597308813,0,15,peor_gross_profit
B1,Alta demanda con furgonetas,,190,3,1.150042781899191,0.2666141726406208,954149.494957759,8750000.0,7795850.505042241,0.0,542.0019371903494,0,19,promedio_gross_profit
B2,Baja demanda con furgonetas,,80,7,1.1935212340929469,0.4833431106350097,696750.2750862617,3600000.0,2903249.724913738,0.0,220.25291235097768,0,8,mejor_average_delivery_time
B2,Baja demanda con furgonetas,,60,0,2.0572402058781423,0.7489356905678809,672525.6410124231,2450000.0,1777474.3589875768,0.0,189.97211975867955,0,6,peor_average_delivery_time
B2,Baja demanda con furgonetas,,80,0,1.5154141907495675,0.6303162460789045,702456.8900342423,3650000.0,2947543.109965757,0.0,227.38618103595357,0,8,promedio_average_delivery_time
B2,Baja demanda con furgonetas,,60,3,1.5941529178723262,0.7382824731265135,643758.2325418643,2900000.0,2256241.767458136,0.0,154.012859170481,0,6,mejor_total_cost
B2,Baja demanda con furgonetas,,110,4,1.5085604656506697,0.428079724487798,784958.9698124295,4800000.0,4015041.0301875705,0.0,330.51378075868763,0,11,peor_total_cost
B2,Baja demanda con furgonetas,,80,6,1.6845650442141995,0.5766712230535381,712135.8969162501,3450000.0,2737864.10308375,0.0,239.4849396384634,0,8,promedio_total_cost
B2,Baja demanda con furgonetas,,110,3,1.4504084819038705,0.4878419909589242,778459.5672011622,5500000.0,4721540.432798838,0.0,322.3895274946036,0,11,mejor_gross_profit
B2,Baja demanda con furgonetas,,60,4,1.5529997748225364,0.814263441655987,651646.5526020996,2400000.0,1748353.4473979005,0.0,163.87325924577513,0,6,peor_gross_profit
B2,Baja demanda con furgonetas,,90,7,1.7442069419292332,0.6307111387862131,737996.5861460378,3800000.0,3062003.413853962,0.0,271.810801175698,0,9,promedio_gross_profit
C,Alta demanda con flota mixta: 5 motos y 2 furgonetas,,199,4,0.8382541112771795,0.212573819416575,1990132.647698737,9470000.0,7479867.352301263,2139.859868084325,252.05136050416732,109,9,mejor_average_delivery_time
C,Alta demanda con flota mixta: 5 motos y 2 furgonetas,,226,4,1.21196801717378,0.3268582884492069,2051712.792421507,10430000.0,8378287.207578493,2022.783997764376,398.7935159796676,86,14,peor_average_delivery_time
C,Alta demanda con flota mixta: 5 motos y 2 furgonetas,,193,3,0.997677380884408,0.2381240261492384,1918405.915108072,8690000.0,6771594.084891928,1954.3678071539043,272.9299825250364,93,10,promedio_average_delivery_time
C,Alta demanda con flota mixta: 5 motos y 2 furgonetas,,167,1,0.8964033572272317,0.216503481949751,1856482.028132753,7360000.0,5503517.971867247,1953.3855164098336,196.1104831389121,97,7,mejor_total_cost
C,Alta demanda con flota mixta: 5 motos y 2 furgonetas,,250,2,0.97152149999056,0.2140973157001003,2125264.964254945,11700000.0,9574735.035745054,2101.1559407752143,444.0309102820201,100,15,peor_total_cost
C,Alta demanda con flota mixta: 5 motos y 2 furgonetas,,213,0,0.8665210915757483,0.2361336835641473,1994361.242226913,9340000.0,7345638.757773086,2065.298225836785,301.769318300227,103,11,promedio_total_cost
C,Alta demanda con flota mixta: 5 motos y 2 furgonetas,,250,2,0.97152149999056,0.2140973157001003,2125264.964254945,11700000.0,9574735.035745054,2101.1559407752143,444.0309102820201,100,15,mejor_gross_profit
C,Alta demanda con flota mixta: 5 motos y 2 furgonetas,,163,2,0.943749568176308,0.2236365137650325,1918163.1588165676,6690000.0,4771836.841183432,2069.360251660234,204.10110207377687,93,7,peor_gross_profit
C,Alta demanda con flota mixta: 5 motos y 2 furgonetas,,192,8,0.967599233627602,0.2678255796572528,1947449.879547683,8860000.0,6912550.1204523165,1982.811717242229,292.28485650404275,92,10,promedio_gross_profit
