scenario,description,seed,delivered_packages,pending_packages,average_delivery_time,average_waiting_time,total_cost,total_income,gross_profit,moto_distance,furgoneta_distance,moto_trips,furgoneta_trips
A1,Alta demanda con flota de motos,,178,42,2.0638286097365417,1.5054733879710505,2856811.902485687,8040000.0,5183188.097514313,3860.985293403068,0.0,178,0
A1,Alta demanda con flota de motos,,170,23,0.9572953044620545,0.41139144057661986,2758008.0235849335,7350000.0,4591991.976415066,3653.7319657317303,0.0,170,0
A1,Alta demanda con flota de motos,,185,19,1.10415159979282,0.5540620858131382,2963771.2924609603,8400000.0,5436228.70753904,4085.3458118836925,0.0,185,0
A1,Alta demanda con flota de motos,,177,47,1.8283024197670708,1.2582486026312454,2893987.2768620322,7710000.0,4816012.723137967,3938.96522832712,0.0,177,0
A1,Alta demanda con flota de motos,,170,17,0.9862721264988643,0.4295393512995049,2844957.697484568,8150000.0,5305042.302515432,3836.119635690904,0.0,170,0
A1,Alta demanda con flota de motos,,170,30,1.3517734554104597,0.7603470251054334,2864406.817704528,7300000.0,4435593.182295471,3876.916565231653,0.0,170,0
A1,Alta demanda con flota de motos,,175,38,1.489986860261365,0.9234536600642345,2859690.863384974,8150000.0,5290309.136615026,3867.024269132066,0.0,175,0
A1,Alta demanda con flota de motos,,177,42,1.9321590934200852,1.362825060976452,2861100.9952221815,7560000.0,4698899.004777819,3869.982194660569,0.0,177,0
A1,Alta demanda con flota de motos,,170,30,1.6294085935914,1.0246534898524622,2855994.899734939,7900000.0,5044005.1002650615,3859.2715293211986,0.0,170,0
A1,Alta demanda con flota de motos,,190,17,1.3994745192276208,0.879825813191495,2822351.6802289723,8650000.0,5827648.319771027,3788.7007250798756,0.0,190,0
A1,Alta demanda con flota de motos,,177,6,0.9803640547255076,0.43476970448364916,2819504.1505935164,7760000.0,4940495.849406484,3782.7276803051423,0.0,177,0
A1,Alta demanda con flota de motos,,179,24,1.1304499833143005,0.5674033217271344,2926563.9076178665,8220000.0,5293436.092382133,4007.298731055784,0.0,179,0
